"Time","A4260517",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/07/2014,       6.419,      1
09:00:00 02/07/2014,       6.390,      1
09:00:00 03/07/2014,       6.376,      1
09:00:00 04/07/2014,       6.379,      1
09:00:00 05/07/2014,       6.393,      1
09:00:00 06/07/2014,       6.394,      1
09:00:00 07/07/2014,       6.396,      1
09:00:00 08/07/2014,       6.408,      1
09:00:00 09/07/2014,       6.447,      1
09:00:00 10/07/2014,       6.491,      1
09:00:00 11/07/2014,       6.478,      1
09:00:00 12/07/2014,       6.470,      1
09:00:00 13/07/2014,       6.454,      1
09:00:00 14/07/2014,       6.445,      1
09:00:00 15/07/2014,       6.462,      1
09:00:00 16/07/2014,       6.433,      1
09:00:00 17/07/2014,       6.453,      1
09:00:00 18/07/2014,       6.445,      1
09:00:00 19/07/2014,       6.400,      1
09:00:00 20/07/2014,       6.360,      1
09:00:00 21/07/2014,       6.344,      1
09:00:00 22/07/2014,       6.341,      1
09:00:00 23/07/2014,       6.339,      1
09:00:00 24/07/2014,       6.329,      1
09:00:00 25/07/2014,       6.368,      1
09:00:00 26/07/2014,       6.507,      1
09:00:00 27/07/2014,       6.676,      1
09:00:00 28/07/2014,       6.737,      1
09:00:00 29/07/2014,       6.821,      1
09:00:00 30/07/2014,       6.850,      1
09:00:00 31/07/2014,       6.903,      1
09:00:00 01/08/2014,       6.916,      1
09:00:00 02/08/2014,       6.890,      1
09:00:00 03/08/2014,       6.868,      1
09:00:00 04/08/2014,       6.864,      1
09:00:00 05/08/2014,       6.861,      1
09:00:00 06/08/2014,       6.916,      1
09:00:00 07/08/2014,       6.997,      1
09:00:00 08/08/2014,       7.091,      1
09:00:00 09/08/2014,       7.128,      1
09:00:00 10/08/2014,       7.126,      1
09:00:00 11/08/2014,       7.109,      1
09:00:00 12/08/2014,       7.064,      1
09:00:00 13/08/2014,       7.084,      1
09:00:00 14/08/2014,       7.103,      1
09:00:00 15/08/2014,       7.109,      1
09:00:00 16/08/2014,       7.116,      1
09:00:00 17/08/2014,       7.150,      1
09:00:00 18/08/2014,       7.158,      1
09:00:00 19/08/2014,       7.147,      1
09:00:00 20/08/2014,       7.132,      1
09:00:00 21/08/2014,       7.044,      1
09:00:00 22/08/2014,       6.948,      1
09:00:00 23/08/2014,       6.924,      1
09:00:00 24/08/2014,       6.919,      1
09:00:00 25/08/2014,       6.905,      1
09:00:00 26/08/2014,       6.873,      1
09:00:00 27/08/2014,       6.852,      1
09:00:00 28/08/2014,       6.836,      1
09:00:00 29/08/2014,       6.761,      1
09:00:00 30/08/2014,       6.685,      1
09:00:00 31/08/2014,       6.669,      1
09:00:00 01/09/2014,       6.670,      1
09:00:00 02/09/2014,       6.644,      1
09:00:00 03/09/2014,       6.542,      1
09:00:00 04/09/2014,       6.530,      1
09:00:00 05/09/2014,       6.566,      1
09:00:00 06/09/2014,       6.588,      1
09:00:00 07/09/2014,       6.585,      1
09:00:00 08/09/2014,       6.577,      1
09:00:00 09/09/2014,       6.576,      1
09:00:00 10/09/2014,       6.597,      1
09:00:00 11/09/2014,       6.547,      1
09:00:00 12/09/2014,       6.501,      1
09:00:00 13/09/2014,       6.493,      1
09:00:00 14/09/2014,       6.521,      1
09:00:00 15/09/2014,       6.535,      1
09:00:00 16/09/2014,       6.594,      1
09:00:00 17/09/2014,       6.568,      1
09:00:00 18/09/2014,       6.558,      1
09:00:00 19/09/2014,       6.527,      1
09:00:00 20/09/2014,       6.524,      1
09:00:00 21/09/2014,       6.517,      1
09:00:00 22/09/2014,       6.516,      1
09:00:00 23/09/2014,       6.509,      1
09:00:00 24/09/2014,       6.508,      1
09:00:00 25/09/2014,       6.560,      1
09:00:00 26/09/2014,       6.572,      1
09:00:00 27/09/2014,       6.618,      1
09:00:00 28/09/2014,       6.616,      1
09:00:00 29/09/2014,       6.625,      1
09:00:00 30/09/2014,       6.594,      1
09:00:00 01/10/2014,       6.585,      1
09:00:00 02/10/2014,       6.506,      1
09:00:00 03/10/2014,       6.508,      1
09:00:00 04/10/2014,       6.522,      1
09:00:00 05/10/2014,       6.545,      1
09:00:00 06/10/2014,       6.551,      1
09:00:00 07/10/2014,       6.611,      1
09:00:00 08/10/2014,       6.605,      1
09:00:00 09/10/2014,       6.605,      1
09:00:00 10/10/2014,       6.610,      1
09:00:00 11/10/2014,       6.623,      1
09:00:00 12/10/2014,       6.623,      1
09:00:00 13/10/2014,       6.647,      1
09:00:00 14/10/2014,       6.619,      1
09:00:00 15/10/2014,       6.605,      1
09:00:00 16/10/2014,       6.614,      1
09:00:00 17/10/2014,       6.561,     30
09:00:00 18/10/2014,       6.711,     30
09:00:00 19/10/2014,       6.734,     30
09:00:00 20/10/2014,       6.726,     30
09:00:00 21/10/2014,       6.711,     30
09:00:00 22/10/2014,       6.703,     30
09:00:00 23/10/2014,       6.715,      1
09:00:00 24/10/2014,       6.702,      1
09:00:00 25/10/2014,       6.707,      1
09:00:00 26/10/2014,       6.713,      1
09:00:00 27/10/2014,       6.713,      1
09:00:00 28/10/2014,       6.735,      1
09:00:00 29/10/2014,       6.731,      1
09:00:00 30/10/2014,       6.732,      1
09:00:00 31/10/2014,       6.779,      1
09:00:00 01/11/2014,       6.859,      1
09:00:00 02/11/2014,       6.886,      1
09:00:00 03/11/2014,       6.876,      1
09:00:00 04/11/2014,       6.899,      1
09:00:00 05/11/2014,       6.919,      1
09:00:00 06/11/2014,       6.895,      1
09:00:00 07/11/2014,       6.888,      1
09:00:00 08/11/2014,       6.888,      1
09:00:00 09/11/2014,       6.902,      1
09:00:00 10/11/2014,       6.876,      1
09:00:00 11/11/2014,       6.850,      1
09:00:00 12/11/2014,       6.828,      1
09:00:00 13/11/2014,       6.834,      1
09:00:00 14/11/2014,       6.840,      1
09:00:00 15/11/2014,       6.833,      1
09:00:00 16/11/2014,       6.833,      1
09:00:00 17/11/2014,       6.831,      1
09:00:00 18/11/2014,       6.817,      1
09:00:00 19/11/2014,       6.809,      1
09:00:00 20/11/2014,       6.785,      1
09:00:00 21/11/2014,       6.786,      1
09:00:00 22/11/2014,       6.749,      1
09:00:00 23/11/2014,       6.716,      1
09:00:00 24/11/2014,       6.704,      1
09:00:00 25/11/2014,       6.700,      1
09:00:00 26/11/2014,       6.645,      1
09:00:00 27/11/2014,       6.616,      1
09:00:00 28/11/2014,       6.590,      1
09:00:00 29/11/2014,       6.552,      1
09:00:00 30/11/2014,       6.538,      1
09:00:00 01/12/2014,       6.538,      1
09:00:00 02/12/2014,       6.503,      1
09:00:00 03/12/2014,       6.435,      1
09:00:00 04/12/2014,       6.452,      1
09:00:00 05/12/2014,       6.435,      1
09:00:00 06/12/2014,       6.418,      1
09:00:00 07/12/2014,       6.409,      1
09:00:00 08/12/2014,       6.397,      1
09:00:00 09/12/2014,       6.392,      1
09:00:00 10/12/2014,       6.391,      1
09:00:00 11/12/2014,       6.392,      1
09:00:00 12/12/2014,       6.385,      1
09:00:00 13/12/2014,       6.352,      1
09:00:00 14/12/2014,       6.337,      1
09:00:00 15/12/2014,       6.332,      1
09:00:00 16/12/2014,       6.307,      1
09:00:00 17/12/2014,       6.333,      1
09:00:00 18/12/2014,       6.288,      1
09:00:00 19/12/2014,       6.310,      1
09:00:00 20/12/2014,       6.298,      1
09:00:00 21/12/2014,       6.299,      1
09:00:00 22/12/2014,       6.300,      1
09:00:00 23/12/2014,       6.321,      1
09:00:00 24/12/2014,       6.335,      1
09:00:00 25/12/2014,       6.301,      1
09:00:00 26/12/2014,       6.327,      1
09:00:00 27/12/2014,       6.305,      1
09:00:00 28/12/2014,       6.301,      1
09:00:00 29/12/2014,       6.312,      1
09:00:00 30/12/2014,       6.341,      1
09:00:00 31/12/2014,       6.313,      1
09:00:00 01/01/2015,       6.295,      1
09:00:00 02/01/2015,       6.284,      1
09:00:00 03/01/2015,       6.274,      1
09:00:00 04/01/2015,       6.285,      1
09:00:00 05/01/2015,       6.275,      1
09:00:00 06/01/2015,       6.270,      1
09:00:00 07/01/2015,       6.265,      1
09:00:00 08/01/2015,       6.281,      1
09:00:00 09/01/2015,       6.304,      1
09:00:00 10/01/2015,       6.318,      1
09:00:00 11/01/2015,       6.349,      1
09:00:00 12/01/2015,       6.355,      1
09:00:00 13/01/2015,       6.390,      1
09:00:00 14/01/2015,       6.465,      1
09:00:00 15/01/2015,       6.446,      1
09:00:00 16/01/2015,       6.398,      1
09:00:00 17/01/2015,       6.377,      1
09:00:00 18/01/2015,       6.349,      1
09:00:00 19/01/2015,       6.311,      1
09:00:00 20/01/2015,       6.308,      1
09:00:00 21/01/2015,       6.328,      1
09:00:00 22/01/2015,       6.370,      1
09:00:00 23/01/2015,       6.375,      1
09:00:00 24/01/2015,       6.387,      1
09:00:00 25/01/2015,       6.389,      1
09:00:00 26/01/2015,       6.378,      1
09:00:00 27/01/2015,       6.378,      1
09:00:00 28/01/2015,       6.385,      1
09:00:00 29/01/2015,       6.374,      1
09:00:00 30/01/2015,       6.370,      1
09:00:00 31/01/2015,       6.345,      1
09:00:00 01/02/2015,       6.332,      1
09:00:00 02/02/2015,       6.328,      1
09:00:00 03/02/2015,       6.301,      1
09:00:00 04/02/2015,       6.316,      1
09:00:00 05/02/2015,       6.325,      1
09:00:00 06/02/2015,       6.328,      1
09:00:00 07/02/2015,       6.338,      1
09:00:00 08/02/2015,       6.349,      1
09:00:00 09/02/2015,       6.342,      1
09:00:00 10/02/2015,       6.329,      1
09:00:00 11/02/2015,       6.267,     90
09:00:00 12/02/2015,       6.363,      1
09:00:00 13/02/2015,       6.351,      1
09:00:00 14/02/2015,       6.357,      1
09:00:00 15/02/2015,       6.358,      1
09:00:00 16/02/2015,       6.380,      1
09:00:00 17/02/2015,       6.361,      1
09:00:00 18/02/2015,       6.361,      1
09:00:00 19/02/2015,       6.360,      1
09:00:00 20/02/2015,       6.367,      1
09:00:00 21/02/2015,       6.371,      1
09:00:00 22/02/2015,       6.368,      1
09:00:00 23/02/2015,       6.370,      1
09:00:00 24/02/2015,       6.387,      1
09:00:00 25/02/2015,       6.357,      1
09:00:00 26/02/2015,       6.359,      1
09:00:00 27/02/2015,       6.384,      1
09:00:00 28/02/2015,       6.379,      1
09:00:00 01/03/2015,       6.399,      1
09:00:00 02/03/2015,       6.371,      1
09:00:00 03/03/2015,       6.379,      1
09:00:00 04/03/2015,       6.439,      1
09:00:00 05/03/2015,       6.460,      1
09:00:00 06/03/2015,       6.449,      1
09:00:00 07/03/2015,       6.448,      1
09:00:00 08/03/2015,       6.443,      1
09:00:00 09/03/2015,       6.448,      1
09:00:00 10/03/2015,       6.449,      1
09:00:00 11/03/2015,       6.449,      1
09:00:00 12/03/2015,       6.454,      1
09:00:00 13/03/2015,       6.450,      1
09:00:00 14/03/2015,       6.441,      1
09:00:00 15/03/2015,       6.445,      1
09:00:00 16/03/2015,       6.427,      1
09:00:00 17/03/2015,       6.389,      1
