Time,A4260903,
and,Discharge (Ml/day),
Date,Mean,Qual
09:00:00 01/06/2015,,255
09:00:00 02/06/2015,3572.5,25
09:00:00 03/06/2015,3565.5,25
09:00:00 04/06/2015,3558.5,25
09:00:00 05/06/2015,3488,25
09:00:00 06/06/2015,3184.5,25
09:00:00 07/06/2015,2992.5,25
09:00:00 08/06/2015,2979.5,25
09:00:00 09/06/2015,2923,25
09:00:00 10/06/2015,2929.5,25
09:00:00 11/06/2015,3011.5,25
09:00:00 12/06/2015,3081.5,25
09:00:00 13/06/2015,3126.5,25
09:00:00 14/06/2015,3146,25
09:00:00 15/06/2015,3192,25
09:00:00 16/06/2015,3311,25
09:00:00 17/06/2015,3661,25
09:00:00 18/06/2015,3741,25
09:00:00 19/06/2015,3608.5,25
09:00:00 20/06/2015,3608.5,25
09:00:00 21/06/2015,3487.5,25
09:00:00 22/06/2015,3382,25
09:00:00 23/06/2015,3262.5,25
09:00:00 24/06/2015,3152,25
09:00:00 25/06/2015,3212.5,25
09:00:00 26/06/2015,3340,25
09:00:00 27/06/2015,3319.5,25
09:00:00 28/06/2015,3272,25
09:00:00 29/06/2015,3279,25
09:00:00 30/06/2015,3286,25
09:00:00 01/07/2015,,255
09:00:00 02/07/2015,3312.5,25
09:00:00 03/07/2015,3745,25
09:00:00 04/07/2015,5652,25
09:00:00 05/07/2015,7202,25
09:00:00 06/07/2015,7237,25
09:00:00 07/07/2015,7272.5,25
09:00:00 08/07/2015,7389,25
09:00:00 09/07/2015,7690.5,25
09:00:00 10/07/2015,8039,25
09:00:00 11/07/2015,8417.5,25
09:00:00 12/07/2015,8657.5,25
09:00:00 13/07/2015,8876,25
09:00:00 14/07/2015,9209,25
09:00:00 15/07/2015,9257,25
09:00:00 16/07/2015,9276.5,25
09:00:00 17/07/2015,9286.5,25
09:00:00 18/07/2015,9014,25
09:00:00 19/07/2015,8751.5,25
09:00:00 20/07/2015,8599.5,25
09:00:00 21/07/2015,8123,25
09:00:00 22/07/2015,7410,25
09:00:00 23/07/2015,7050,25
09:00:00 24/07/2015,7095,25
09:00:00 25/07/2015,6394.5,25
09:00:00 26/07/2015,5563,25
09:00:00 27/07/2015,5520,25
09:00:00 28/07/2015,5298.5,25
09:00:00 29/07/2015,5034,25
09:00:00 30/07/2015,5059.5,25
09:00:00 31/07/2015,,255
09:00:00 01/08/2015,,255
09:00:00 02/08/2015,6474,25
09:00:00 03/08/2015,6626.5,25
09:00:00 04/08/2015,6826,25
09:00:00 05/08/2015,7251,25
09:00:00 06/08/2015,7413,25
09:00:00 07/08/2015,7340,25
09:00:00 08/08/2015,7185.5,25
09:00:00 09/08/2015,7077,25
09:00:00 10/08/2015,7005.5,25
09:00:00 11/08/2015,6979,25
09:00:00 12/08/2015,6838.5,25
09:00:00 13/08/2015,6820.5,25
09:00:00 14/08/2015,6934.5,25
09:00:00 15/08/2015,6899,25
09:00:00 16/08/2015,6917,25
09:00:00 17/08/2015,6944,25
09:00:00 18/08/2015,6926,25
09:00:00 19/08/2015,6943.5,25
09:00:00 20/08/2015,6764,25
09:00:00 21/08/2015,6392,25
09:00:00 22/08/2015,5994.5,25
09:00:00 23/08/2015,5720,25
09:00:00 24/08/2015,5552.5,25
09:00:00 25/08/2015,5366.5,25
09:00:00 26/08/2015,5148,25
09:00:00 27/08/2015,4889.5,25
09:00:00 28/08/2015,4731,25
09:00:00 29/08/2015,4739.5,25
09:00:00 30/08/2015,4805.5,25
09:00:00 31/08/2015,4805.5,25
09:00:00 01/09/2015,,255
09:00:00 02/09/2015,4991,25
09:00:00 03/09/2015,5877,25
09:00:00 04/09/2015,7246,25
09:00:00 05/09/2015,7840.5,25
09:00:00 06/09/2015,7655,25
09:00:00 07/09/2015,7251.5,25
09:00:00 08/09/2015,6675.5,25
09:00:00 09/09/2015,6033.5,25
09:00:00 10/09/2015,5751,25
09:00:00 11/09/2015,5641.5,25
09:00:00 12/09/2015,5391,25
09:00:00 13/09/2015,5326,25
09:00:00 14/09/2015,5487.5,25
09:00:00 15/09/2015,5539,25
09:00:00 16/09/2015,5513,25
09:00:00 17/09/2015,5461.5,25
09:00:00 18/09/2015,5765,25
09:00:00 19/09/2015,6668,25
09:00:00 20/09/2015,7334.5,25
09:00:00 21/09/2015,7380,25
09:00:00 22/09/2015,7500.5,25
09:00:00 23/09/2015,8204.5,25
09:00:00 24/09/2015,8766.5,25
09:00:00 25/09/2015,8715,25
09:00:00 26/09/2015,8369,25
09:00:00 27/09/2015,8052.5,25
09:00:00 28/09/2015,7933,25
09:00:00 29/09/2015,7905.5,25
09:00:00 30/09/2015,7878.5,25
09:00:00 01/10/2015,,255
09:00:00 02/10/2015,7688,25
09:00:00 03/10/2015,7517.5,25
09:00:00 04/10/2015,7357.5,25
09:00:00 05/10/2015,7393,25
09:00:00 06/10/2015,7544,25
09:00:00 07/10/2015,7589,25
09:00:00 08/10/2015,7807,25
09:00:00 09/10/2015,8108,25
09:00:00 10/10/2015,8434,25
09:00:00 11/10/2015,8695.5,25
09:00:00 12/10/2015,8723.5,25
09:00:00 13/10/2015,8818,25
09:00:00 14/10/2015,8903,25
09:00:00 15/10/2015,8631,25
09:00:00 16/10/2015,8238,25
09:00:00 17/10/2015,7905.5,25
09:00:00 18/10/2015,7758.5,25
09:00:00 19/10/2015,7823,25
09:00:00 20/10/2015,7777,25
09:00:00 21/10/2015,7731,25
09:00:00 22/10/2015,7777,25
09:00:00 23/10/2015,7906.5,25
09:00:00 24/10/2015,8203,25
09:00:00 25/10/2015,8406.5,25
09:00:00 26/10/2015,8020,25
09:00:00 27/10/2015,8141,25
09:00:00 28/10/2015,8648.5,25
09:00:00 29/10/2015,8583.5,25
09:00:00 30/10/2015,8537,25
09:00:00 31/10/2015,7897.5,25
09:00:00 01/11/2015,7149,25
09:00:00 02/11/2015,7194.5,25
09:00:00 03/11/2015,7348.5,25
09:00:00 04/11/2015,7919,25
09:00:00 05/11/2015,9241,25
09:00:00 06/11/2015,9858.5,25
09:00:00 07/11/2015,9352.5,25
09:00:00 08/11/2015,8882.5,25
09:00:00 09/11/2015,8539.5,25
09:00:00 10/11/2015,7738,25
09:00:00 11/11/2015,6564.5,25
09:00:00 12/11/2015,5787.5,25
09:00:00 13/11/2015,5220.5,25
09:00:00 14/11/2015,4498.5,25
09:00:00 15/11/2015,4048.5,25
09:00:00 16/11/2015,3964,25
09:00:00 17/11/2015,4040.5,25
09:00:00 18/11/2015,4071,25
09:00:00 19/11/2015,4188,25
09:00:00 20/11/2015,4180.5,25
09:00:00 21/11/2015,4301,25
09:00:00 22/11/2015,4561,25
09:00:00 23/11/2015,4440.5,25
09:00:00 24/11/2015,4071.5,25
09:00:00 25/11/2015,3761,25
09:00:00 26/11/2015,3219.5,25
09:00:00 27/11/2015,2950.5,25
09:00:00 28/11/2015,3237.5,25
09:00:00 29/11/2015,3292,25
09:00:00 30/11/2015,3210,25
09:00:00 01/12/2015,3095.5,25
09:00:00 02/12/2015,2970.5,25
09:00:00 03/12/2015,2991.5,25
09:00:00 04/12/2015,3022.5,25
09:00:00 05/12/2015,2985,25
09:00:00 06/12/2015,3060,25
09:00:00 07/12/2015,3123,25
09:00:00 08/12/2015,3174,25
09:00:00 09/12/2015,3478,25
09:00:00 10/12/2015,3611,25
09:00:00 11/12/2015,3201.5,25
09:00:00 12/12/2015,2881,25
09:00:00 13/12/2015,2929.5,25
09:00:00 14/12/2015,3034.5,25
09:00:00 15/12/2015,3123.5,25
09:00:00 16/12/2015,3547,25
09:00:00 17/12/2015,3932,25
09:00:00 18/12/2015,3848,25
09:00:00 19/12/2015,3603.5,25
09:00:00 20/12/2015,3396.5,25
09:00:00 21/12/2015,3375.5,25
09:00:00 22/12/2015,3237.5,25
09:00:00 23/12/2015,3005,25
09:00:00 24/12/2015,,25
09:00:00 25/12/2015,,25
09:00:00 26/12/2015,,25
09:00:00 27/12/2015,2912,200
09:00:00 28/12/2015,3173,200
09:00:00 29/12/2015,3212,200
09:00:00 30/12/2015,3410,200
09:00:00 31/12/2015,3393,200
09:00:00 01/01/2016,3159,200
09:00:00 02/01/2016,2952,200
09:00:00 03/01/2016,2903,200
09:00:00 04/01/2016,3093,200
09:00:00 05/01/2016,3262,200
09:00:00 06/01/2016,3473,200
09:00:00 07/01/2016,3808,200
09:00:00 08/01/2016,4047,200
09:00:00 09/01/2016,3844,200
09:00:00 10/01/2016,3554,200
09:00:00 11/01/2016,3403,200
09:00:00 12/01/2016,3290,200
09:00:00 13/01/2016,3261,200
09:00:00 14/01/2016,3013,200
09:00:00 15/01/2016,3116,200
09:00:00 16/01/2016,3396,200
09:00:00 17/01/2016,3483,200
09:00:00 18/01/2016,3540,200
09:00:00 19/01/2016,3856,200
09:00:00 20/01/2016,4210,200
09:00:00 21/01/2016,4217,200
09:00:00 22/01/2016,4333,200
09:00:00 23/01/2016,4343,200
09:00:00 24/01/2016,4417,200
09:00:00 25/01/2016,4660,200
09:00:00 26/01/2016,4823,200
09:00:00 27/01/2016,4820,200
09:00:00 28/01/2016,4958,200
09:00:00 29/01/2016,4952,200
09:00:00 30/01/2016,4764,200
09:00:00 31/01/2016,4958,200
09:00:00 01/02/2016,5137,200
09:00:00 02/02/2016,5705,200
09:00:00 03/02/2016,6084,200
09:00:00 04/02/2016,6181,200
09:00:00 05/02/2016,6330,200
09:00:00 06/02/2016,6312,200
09:00:00 07/02/2016,6119,200
09:00:00 08/02/2016,5749,200
09:00:00 09/02/2016,5346,200
09:00:00 10/02/2016,5266,200
09:00:00 11/02/2016,5359,200
09:00:00 12/02/2016,6092.5,25
09:00:00 13/02/2016,6890.5,25
09:00:00 14/02/2016,7248.5,25
09:00:00 15/02/2016,7257.5,25
09:00:00 16/02/2016,7159,25
09:00:00 17/02/2016,6944,25
09:00:00 18/02/2016,6890.5,25
09:00:00 19/02/2016,6908,25
09:00:00 20/02/2016,6793.5,25
09:00:00 21/02/2016,6793.5,25
09:00:00 22/02/2016,6872.5,25
09:00:00 23/02/2016,6890.5,25
09:00:00 24/02/2016,6890.5,25
09:00:00 25/02/2016,6908,25
09:00:00 26/02/2016,6952.5,25
09:00:00 27/02/2016,6988.5,25
09:00:00 28/02/2016,7050.5,25
09:00:00 29/02/2016,7059,25
09:00:00 01/03/2016,7059,25
09:00:00 02/03/2016,6747,25
09:00:00 03/03/2016,6330.5,25
09:00:00 04/03/2016,6175.5,25
09:00:00 05/03/2016,5490,25
09:00:00 06/03/2016,4914.5,25
09:00:00 07/03/2016,4864.5,25
09:00:00 08/03/2016,4654,25
09:00:00 09/03/2016,4535.5,25
09:00:00 10/03/2016,4543.5,25
