Water Level[meter]:Instantaneous
Time	A4260512	
09:00:00 02/06/2015	16.306
09:00:00 03/06/2015	16.303
09:00:00 04/06/2015	16.301
09:00:00 05/06/2015	16.296
09:00:00 06/06/2015	16.292
09:00:00 07/06/2015	16.3
09:00:00 08/06/2015	16.307
09:00:00 09/06/2015	16.313
09:00:00 10/06/2015	16.313
09:00:00 11/06/2015	16.312
09:00:00 12/06/2015	16.31
09:00:00 13/06/2015	16.311
09:00:00 14/06/2015	16.314
09:00:00 15/06/2015	16.32
09:00:00 16/06/2015	16.33
09:00:00 17/06/2015	16.326
09:00:00 18/06/2015	16.316
09:00:00 19/06/2015	16.308
09:00:00 20/06/2015	16.311
09:00:00 21/06/2015	16.311
09:00:00 22/06/2015	16.313
09:00:00 23/06/2015	16.315
09:00:00 24/06/2015	16.316
09:00:00 25/06/2015	16.315
09:00:00 26/06/2015	16.317
09:00:00 27/06/2015	16.317
09:00:00 28/06/2015	16.32
09:00:00 29/06/2015	16.322
09:00:00 30/06/2015	16.322
09:00:00 01/07/2015	16.334
09:00:00 02/07/2015	16.363
09:00:00 03/07/2015	16.335
09:00:00 04/07/2015	16.299
09:00:00 05/07/2015	16.281
09:00:00 06/07/2015	16.29
09:00:00 07/07/2015	16.31
09:00:00 08/07/2015	16.331
09:00:00 09/07/2015	16.345
09:00:00 10/07/2015	16.35
09:00:00 11/07/2015	16.351
09:00:00 12/07/2015	16.345
09:00:00 13/07/2015	16.34
09:00:00 14/07/2015	16.347
09:00:00 15/07/2015	16.35
09:00:00 16/07/2015	16.342
09:00:00 17/07/2015	16.329
09:00:00 18/07/2015	16.316
09:00:00 19/07/2015	16.309
09:00:00 20/07/2015	16.307
09:00:00 21/07/2015	16.314
09:00:00 22/07/2015	16.322
09:00:00 23/07/2015	16.31
09:00:00 24/07/2015	16.313
09:00:00 25/07/2015	16.318
09:00:00 26/07/2015	16.329
09:00:00 27/07/2015	16.327
09:00:00 28/07/2015	16.327
09:00:00 29/07/2015	16.327
09:00:00 30/07/2015	16.326
09:00:00 31/07/2015	16.329
09:00:00 01/08/2015	16.336
09:00:00 02/08/2015	16.336
09:00:00 03/08/2015	16.336
09:00:00 04/08/2015	16.325
09:00:00 05/08/2015	16.318
09:00:00 06/08/2015	16.312
09:00:00 07/08/2015	16.329
09:00:00 08/08/2015	16.331
09:00:00 09/08/2015	16.325
09:00:00 10/08/2015	16.316
09:00:00 11/08/2015	16.308
09:00:00 12/08/2015	16.3
09:00:00 13/08/2015	16.292
09:00:00 14/08/2015	16.305
09:00:00 15/08/2015	16.313
09:00:00 16/08/2015	16.321
09:00:00 17/08/2015	16.328
09:00:00 18/08/2015	16.33
09:00:00 19/08/2015	16.326
09:00:00 20/08/2015	16.321
09:00:00 21/08/2015	16.315
09:00:00 22/08/2015	16.308
09:00:00 23/08/2015	16.304
09:00:00 24/08/2015	16.299
09:00:00 25/08/2015	16.3
09:00:00 26/08/2015	16.304
09:00:00 27/08/2015	16.307
09:00:00 28/08/2015	16.305
09:00:00 29/08/2015	16.311
09:00:00 30/08/2015	16.319
09:00:00 31/08/2015	16.324
09:00:00 01/09/2015	16.338
09:00:00 02/09/2015	16.367
09:00:00 03/09/2015	16.406
09:00:00 04/09/2015	16.42
09:00:00 05/09/2015	16.444
09:00:00 06/09/2015	16.462
09:00:00 07/09/2015	16.456
09:00:00 08/09/2015	16.447
09:00:00 09/09/2015	16.445
09:00:00 10/09/2015	16.453
09:00:00 11/09/2015	16.454
09:00:00 12/09/2015	16.445
09:00:00 13/09/2015	16.437
09:00:00 14/09/2015	16.443
09:00:00 15/09/2015	16.428
09:00:00 16/09/2015	16.424
09:00:00 17/09/2015	16.447
09:00:00 18/09/2015	16.48
09:00:00 19/09/2015	16.515
09:00:00 20/09/2015	16.538
09:00:00 21/09/2015	16.55
09:00:00 22/09/2015	16.552
09:00:00 23/09/2015	16.56
09:00:00 24/09/2015	16.59
09:00:00 25/09/2015	16.622
09:00:00 26/09/2015	16.649
09:00:00 27/09/2015	16.66
09:00:00 28/09/2015	16.662
09:00:00 29/09/2015	16.666
09:00:00 30/09/2015	16.68
09:00:00 01/10/2015	16.704
09:00:00 02/10/2015	16.73
09:00:00 03/10/2015	16.749
09:00:00 04/10/2015	16.764
09:00:00 05/10/2015	16.764
09:00:00 06/10/2015	16.77
09:00:00 07/10/2015	16.76
09:00:00 08/10/2015	16.766
09:00:00 09/10/2015	16.772
09:00:00 10/10/2015	16.763
09:00:00 11/10/2015	16.762
09:00:00 12/10/2015	16.761
09:00:00 13/10/2015	16.756
09:00:00 14/10/2015	16.758
09:00:00 15/10/2015	16.749
