Water Level[meter]:Instantaneous
Time	A4260518	
09:00:00 02/06/2015	6.107
09:00:00 03/06/2015	6.104
09:00:00 04/06/2015	6.101
09:00:00 05/06/2015	6.089
09:00:00 06/06/2015	6.106
09:00:00 07/06/2015	6.106
09:00:00 08/06/2015	6.105
09:00:00 09/06/2015	6.102
09:00:00 10/06/2015	6.112
09:00:00 11/06/2015	6.115
09:00:00 12/06/2015	6.112
09:00:00 13/06/2015	6.111
09:00:00 14/06/2015	6.114
09:00:00 15/06/2015	6.117
09:00:00 16/06/2015	6.122
09:00:00 17/06/2015	6.121
09:00:00 18/06/2015	6.116
09:00:00 19/06/2015	6.115
09:00:00 20/06/2015	6.114
09:00:00 21/06/2015	6.11
09:00:00 22/06/2015	6.107
09:00:00 23/06/2015	6.105
09:00:00 24/06/2015	6.107
09:00:00 25/06/2015	6.107
09:00:00 26/06/2015	6.107
09:00:00 27/06/2015	6.106
09:00:00 28/06/2015	6.105
09:00:00 29/06/2015	6.105
09:00:00 30/06/2015	6.103
09:00:00 01/07/2015	6.105
09:00:00 02/07/2015	6.104
09:00:00 03/07/2015	6.105
09:00:00 04/07/2015	6.106
09:00:00 05/07/2015	6.102
09:00:00 06/07/2015	6.096
09:00:00 07/07/2015	6.082
09:00:00 08/07/2015	6.086
09:00:00 09/07/2015	6.085
09:00:00 10/07/2015	6.092
09:00:00 11/07/2015	6.093
09:00:00 12/07/2015	6.091
09:00:00 13/07/2015	6.101
09:00:00 14/07/2015	6.102
09:00:00 15/07/2015	6.102
09:00:00 16/07/2015	6.112
09:00:00 17/07/2015	6.113
09:00:00 18/07/2015	6.117
09:00:00 19/07/2015	6.108
09:00:00 20/07/2015	6.096
09:00:00 21/07/2015	6.091
09:00:00 22/07/2015	6.092
09:00:00 23/07/2015	6.095
09:00:00 24/07/2015	6.095
09:00:00 25/07/2015	6.091
09:00:00 26/07/2015	6.079
09:00:00 27/07/2015	6.092
09:00:00 28/07/2015	6.096
09:00:00 29/07/2015	6.097
09:00:00 30/07/2015	6.099
09:00:00 31/07/2015	6.101
09:00:00 01/08/2015	6.106
09:00:00 02/08/2015	6.117
09:00:00 03/08/2015	6.114
09:00:00 04/08/2015	6.121
09:00:00 05/08/2015	6.114
09:00:00 06/08/2015	6.112
09:00:00 07/08/2015	6.109
09:00:00 08/08/2015	6.105
09:00:00 09/08/2015	6.103
09:00:00 10/08/2015	6.099
09:00:00 11/08/2015	6.094
09:00:00 12/08/2015	6.083
09:00:00 13/08/2015	6.098
09:00:00 14/08/2015	6.097
09:00:00 15/08/2015	6.096
09:00:00 16/08/2015	6.096
09:00:00 17/08/2015	6.093
09:00:00 18/08/2015	6.095
09:00:00 19/08/2015	6.1
09:00:00 20/08/2015	6.105
09:00:00 21/08/2015	6.097
09:00:00 22/08/2015	6.096
09:00:00 23/08/2015	6.094
09:00:00 24/08/2015	6.094
09:00:00 25/08/2015	6.082
09:00:00 26/08/2015	6.079
09:00:00 27/08/2015	6.083
09:00:00 28/08/2015	6.092
09:00:00 29/08/2015	6.099
09:00:00 30/08/2015	6.1
09:00:00 31/08/2015	6.101
09:00:00 01/09/2015	6.106
09:00:00 02/09/2015	6.116
09:00:00 03/09/2015	6.125
09:00:00 04/09/2015	6.128
09:00:00 05/09/2015	6.126
09:00:00 06/09/2015	6.118
09:00:00 07/09/2015	6.093
09:00:00 08/09/2015	6.107
09:00:00 09/09/2015	6.128
09:00:00 10/09/2015	6.159
09:00:00 11/09/2015	6.194
09:00:00 12/09/2015	6.225
09:00:00 13/09/2015	6.246
09:00:00 14/09/2015	6.246
09:00:00 15/09/2015	6.244
09:00:00 16/09/2015	6.274
09:00:00 17/09/2015	6.305
09:00:00 18/09/2015	6.332
09:00:00 19/09/2015	6.357
09:00:00 20/09/2015	6.378
09:00:00 21/09/2015	6.382
09:00:00 22/09/2015	6.396
09:00:00 23/09/2015	6.414
09:00:00 24/09/2015	6.429
09:00:00 25/09/2015	6.444
09:00:00 26/09/2015	6.458
09:00:00 27/09/2015	6.462
09:00:00 28/09/2015	6.464
09:00:00 29/09/2015	6.475
09:00:00 30/09/2015	6.492
09:00:00 01/10/2015	6.508
09:00:00 02/10/2015	6.523
09:00:00 03/10/2015	6.542
09:00:00 04/10/2015	6.55
09:00:00 05/10/2015	6.557
09:00:00 06/10/2015	6.558
09:00:00 07/10/2015	6.565
09:00:00 08/10/2015	6.574
09:00:00 09/10/2015	6.577
09:00:00 10/10/2015	6.577
09:00:00 11/10/2015	6.578
09:00:00 12/10/2015	6.581
09:00:00 13/10/2015	6.578
09:00:00 14/10/2015	6.577
09:00:00 15/10/2015	6.579
09:00:00 16/10/2015	6.57
09:00:00 17/10/2015	6.575
09:00:00 18/10/2015	6.569
09:00:00 19/10/2015	6.565
09:00:00 20/10/2015	6.564
09:00:00 21/10/2015	6.567
09:00:00 22/10/2015	6.571
09:00:00 23/10/2015	6.567
09:00:00 24/10/2015	6.563
09:00:00 25/10/2015	6.565
09:00:00 26/10/2015	6.555
09:00:00 27/10/2015	6.563
09:00:00 28/10/2015	6.562
09:00:00 29/10/2015	6.565
09:00:00 30/10/2015	6.57
09:00:00 31/10/2015	6.58
09:00:00 01/11/2015	6.584
09:00:00 02/11/2015	6.593
09:00:00 03/11/2015	6.603
09:00:00 04/11/2015	6.612
09:00:00 05/11/2015	6.605
09:00:00 06/11/2015	6.582
09:00:00 07/11/2015	6.573
09:00:00 08/11/2015	6.562
09:00:00 09/11/2015	6.548
09:00:00 10/11/2015	6.524
09:00:00 11/11/2015	6.502
09:00:00 12/11/2015	6.465
09:00:00 13/11/2015	6.44
09:00:00 14/11/2015	6.424
09:00:00 15/11/2015	6.411
09:00:00 16/11/2015	6.411
09:00:00 17/11/2015	6.402
09:00:00 18/11/2015	6.376
09:00:00 19/11/2015	6.346
09:00:00 20/11/2015	6.335
09:00:00 21/11/2015	6.32
09:00:00 22/11/2015	6.302
09:00:00 23/11/2015	6.287
09:00:00 24/11/2015	6.274
09:00:00 25/11/2015	6.245
09:00:00 26/11/2015	6.209
09:00:00 27/11/2015	6.214
09:00:00 28/11/2015	6.185
09:00:00 29/11/2015	6.162
09:00:00 30/11/2015	6.16
09:00:00 01/12/2015	6.13
09:00:00 02/12/2015	6.117
09:00:00 03/12/2015	6.125
09:00:00 04/12/2015	6.14
09:00:00 05/12/2015	6.155
09:00:00 06/12/2015	6.16
09:00:00 07/12/2015	6.165
09:00:00 08/12/2015	6.155
09:00:00 09/12/2015	6.137
09:00:00 10/12/2015	6.131
09:00:00 11/12/2015	6.126
09:00:00 12/12/2015	6.14
09:00:00 13/12/2015	6.14
09:00:00 14/12/2015	6.138
09:00:00 15/12/2015	6.144
09:00:00 16/12/2015	6.146
09:00:00 17/12/2015	6.141
09:00:00 18/12/2015	6.14
09:00:00 19/12/2015	6.134
09:00:00 20/12/2015	6.135
09:00:00 21/12/2015	6.138
09:00:00 22/12/2015	6.139
09:00:00 23/12/2015	6.132
09:00:00 24/12/2015	6.136
09:00:00 25/12/2015	6.142
09:00:00 26/12/2015	6.145
09:00:00 27/12/2015	6.153
09:00:00 28/12/2015	6.149
09:00:00 29/12/2015	6.146
09:00:00 30/12/2015	6.147
09:00:00 31/12/2015	6.144
09:00:00 01/01/2016	6.147
09:00:00 02/01/2016	6.15
09:00:00 03/01/2016	6.147
09:00:00 04/01/2016	6.148
09:00:00 05/01/2016	6.157
09:00:00 06/01/2016	6.148
09:00:00 07/01/2016	6.144
09:00:00 08/01/2016	6.144
09:00:00 09/01/2016	6.142
09:00:00 10/01/2016	6.138
09:00:00 11/01/2016	6.134
09:00:00 12/01/2016	6.136
09:00:00 13/01/2016	6.135
09:00:00 14/01/2016	6.132
09:00:00 15/01/2016	6.143
09:00:00 16/01/2016	6.145
09:00:00 17/01/2016	6.143
09:00:00 18/01/2016	6.147
09:00:00 19/01/2016	6.144
09:00:00 20/01/2016	6.14
09:00:00 21/01/2016	6.144
09:00:00 22/01/2016	6.147
09:00:00 23/01/2016	6.153
09:00:00 24/01/2016	6.161
09:00:00 25/01/2016	6.164
09:00:00 26/01/2016	6.167
09:00:00 27/01/2016	6.164
09:00:00 28/01/2016	6.157
09:00:00 29/01/2016	6.146
09:00:00 30/01/2016	6.158
09:00:00 31/01/2016	6.173
09:00:00 01/02/2016	6.174
09:00:00 02/02/2016	6.169
09:00:00 03/02/2016	6.154
09:00:00 04/02/2016	6.169
09:00:00 05/02/2016	6.157
09:00:00 06/02/2016	6.145
09:00:00 07/02/2016	6.135
09:00:00 08/02/2016	6.125
09:00:00 09/02/2016	6.123
09:00:00 10/02/2016	6.124
09:00:00 11/02/2016	6.124
09:00:00 12/02/2016	6.129
09:00:00 13/02/2016	6.139
09:00:00 14/02/2016	6.139
09:00:00 15/02/2016	6.14
09:00:00 16/02/2016	6.126
09:00:00 17/02/2016	6.118
09:00:00 18/02/2016	6.118
09:00:00 19/02/2016	6.122
09:00:00 20/02/2016	6.125
09:00:00 21/02/2016	6.127
09:00:00 22/02/2016	6.125
09:00:00 23/02/2016	6.128
09:00:00 24/02/2016	6.121
09:00:00 25/02/2016	6.127
09:00:00 26/02/2016	6.126
09:00:00 27/02/2016	6.133
09:00:00 28/02/2016	6.13
09:00:00 29/02/2016	6.128
09:00:00 01/03/2016	6.13
09:00:00 02/03/2016	6.127
09:00:00 03/03/2016	6.123
09:00:00 04/03/2016	6.122
09:00:00 05/03/2016	6.133
09:00:00 06/03/2016	6.131
09:00:00 07/03/2016	6.125
09:00:00 08/03/2016	6.127
09:00:00 09/03/2016	6.123
09:00:00 10/03/2016	6.13
09:00:00 11/03/2016	6.138
09:00:00 12/03/2016	6.135
09:00:00 13/03/2016	6.13
09:00:00 14/03/2016	6.125
09:00:00 15/03/2016	6.123
09:00:00 16/03/2016	6.123
09:00:00 17/03/2016	6.12
09:00:00 18/03/2016	6.115
09:00:00 19/03/2016	6.122
09:00:00 20/03/2016	6.123
09:00:00 21/03/2016	6.12
09:00:00 22/03/2016	6.121
09:00:00 23/03/2016	6.123
09:00:00 24/03/2016	6.125
09:00:00 25/03/2016	6.129
09:00:00 26/03/2016	6.136
09:00:00 27/03/2016	6.137
09:00:00 28/03/2016	6.139
09:00:00 29/03/2016	6.145
09:00:00 30/03/2016	6.147
09:00:00 31/03/2016	6.152
09:00:00 01/04/2016	6.157
09:00:00 02/04/2016	6.157
09:00:00 03/04/2016	6.167
09:00:00 04/04/2016	6.17
09:00:00 05/04/2016	6.176
09:00:00 06/04/2016	6.151
09:00:00 07/04/2016	6.183
09:00:00 08/04/2016	6.191
09:00:00 09/04/2016	6.184
09:00:00 10/04/2016	6.173
09:00:00 11/04/2016	6.164
09:00:00 12/04/2016	6.156
09:00:00 13/04/2016	6.135
09:00:00 14/04/2016	6.113
09:00:00 15/04/2016	6.106
09:00:00 16/04/2016	6.106
09:00:00 17/04/2016	6.108
09:00:00 18/04/2016	6.104
09:00:00 19/04/2016	6.107
09:00:00 20/04/2016	6.111
09:00:00 21/04/2016	6.107
09:00:00 22/04/2016	6.113
09:00:00 23/04/2016	6.115
09:00:00 24/04/2016	6.104
09:00:00 25/04/2016	6.096
09:00:00 26/04/2016	6.095
09:00:00 27/04/2016	6.092
09:00:00 28/04/2016	6.087
09:00:00 29/04/2016	6.089
09:00:00 30/04/2016	6.082
09:00:00 01/05/2016	6.064
09:00:00 02/05/2016	6.09
09:00:00 03/05/2016	6.095
09:00:00 04/05/2016	6.099
09:00:00 05/05/2016	6.121
09:00:00 06/05/2016	6.122
09:00:00 07/05/2016	6.129
09:00:00 08/05/2016	6.134
09:00:00 09/05/2016	6.133
09:00:00 10/05/2016	6.091
09:00:00 11/05/2016	6.118
09:00:00 12/05/2016	6.107
09:00:00 13/05/2016	6.106
09:00:00 14/05/2016	6.104
09:00:00 15/05/2016	6.099
09:00:00 16/05/2016	6.1
09:00:00 17/05/2016	6.101
09:00:00 18/05/2016	6.102
09:00:00 19/05/2016	6.1
09:00:00 20/05/2016	6.092
09:00:00 21/05/2016	6.118
09:00:00 22/05/2016	6.132
09:00:00 23/05/2016	6.126
09:00:00 24/05/2016	6.142
09:00:00 25/05/2016	6.14
09:00:00 26/05/2016	6.148
09:00:00 27/05/2016	6.161
09:00:00 28/05/2016	6.161
09:00:00 29/05/2016	6.161
09:00:00 30/05/2016	6.162
09:00:00 31/05/2016	6.154
