Sample Point Name,sampleDate,dailyStage (m),dailyVolume (ML/day),qualityCode,Comments
LK7DS_620km,01/07/2015 09:00:01,19.284,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/07/2015 09:00:01,19.323,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/07/2015 09:00:01,19.307,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/07/2015 09:00:01,19.279,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/07/2015 09:00:01,19.307,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/07/2015 09:00:01,19.346,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/07/2015 09:00:01,19.328,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/07/2015 09:00:01,19.343,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/07/2015 09:00:01,19.357,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/07/2015 09:00:01,19.346,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/07/2015 09:00:01,19.337,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/07/2015 09:00:01,19.323,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/07/2015 09:00:01,19.326,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/07/2015 09:00:01,19.332,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/07/2015 09:00:01,19.324,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/07/2015 09:00:01,19.299,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/07/2015 09:00:01,19.278,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/07/2015 09:00:01,19.255,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/07/2015 09:00:01,19.252,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/07/2015 09:00:01,19.270,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/07/2015 09:00:01,19.288,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/07/2015 09:00:01,19.288,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/07/2015 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/07/2015 09:00:01,19.234,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/07/2015 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/07/2015 09:00:01,19.281,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/07/2015 09:00:01,19.260,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,28/07/2015 09:00:01,19.270,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/07/2015 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,30/07/2015 09:00:01,19.281,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,31/07/2015 09:00:01,19.293,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/08/2015 09:00:01,19.269,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/08/2015 09:00:01,19.271,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/08/2015 09:00:01,19.256,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/08/2015 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/08/2015 09:00:01,19.239,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/08/2015 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/08/2015 09:00:01,19.270,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/08/2015 09:00:01,19.248,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/08/2015 09:00:01,19.227,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/08/2015 09:00:01,19.224,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/08/2015 09:00:01,19.231,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/08/2015 09:00:01,19.202,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/08/2015 09:00:01,19.241,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/08/2015 09:00:01,19.253,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/08/2015 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/08/2015 09:00:01,19.254,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/08/2015 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/08/2015 09:00:01,19.246,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/08/2015 09:00:01,19.262,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/08/2015 09:00:01,19.259,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/08/2015 09:00:01,19.269,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/08/2015 09:00:01,19.260,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/08/2015 09:00:01,19.255,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/08/2015 09:00:01,19.262,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/08/2015 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/08/2015 09:00:01,19.261,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/08/2015 09:00:01,19.268,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,28/08/2015 09:00:01,19.269,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/08/2015 09:00:01,19.290,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,30/08/2015 09:00:01,19.306,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,31/08/2015 09:00:01,19.301,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/09/2015 09:00:01,19.277,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/09/2015 09:00:01,19.299,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/09/2015 09:00:01,19.296,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/09/2015 09:00:01,19.274,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/09/2015 09:00:01,19.293,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/09/2015 09:00:01,19.280,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/09/2015 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/09/2015 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/09/2015 09:00:01,19.261,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/09/2015 09:00:01,19.268,0,5,No discharge at this sample point (1 Good)
